_id	gender	country	age_on_2013_10_31
0	m	NL	37
1	m	FI	35
2	m	UK	42
3	m	US	27
4	m	DE	27
5	m	AU	35
6	m	AU	31
7	f	US	25
8	f	SE	33
9	m	UK	24
10	m	UK	37
11	m	FI	37
12	m	FI	26
13	m	BR	32
14	m	SE	28
15	m	US	29
16	m	US	25
17	m	US	33
18	m	DE	24
19	m	SJ	23
20	m	MX	26
21	m	FI	31
22	m	PL	30
23	f	CA	30
24	m	US	27
25	m	NL	29
26	f	US	36
27	m	PL	37
28	f	US	24
29	m	SE	43
30	m	US	24
31	m	UK	28
32	m	FR	33
33	m	NO	34
34	m	UK	28
35	m	SE	37
36	f	US	24
37	m	CO	25
38	m	BR	27
39	m	FI	29
40	f	US	24
41	m	RO	27
42	f	HU	22
43	m	DE	22
44	m	JP	29
45	m	FI	42
46	m	US	30
47	m	UK	34
48	m	SE	23
49	m	US	36
50	f	MX	29
51	f	US	26
52	m	UK	22
53	m	BE	39
54	m	BR	24
55	m	BR	23
56	f	AU	24
57	f	NO	23
58	m	US	25
59	m	GR	30
60	m	MU	23
61	m	US	39
62	m	UK	25
63	m	DK	48
64	m	DE	61
65	m	BR	22
66	m	NO	30
67	m	AU	32
68	m	US	22
69	m	BR	32
70	m	RU	27
71	m	SE	32
72	m	FR	26
73	m	UK	33
74	m	US	24
75	m	DE	33
76	m	DZ	24
77	m	US	34
78	m	NL	24
79	m	CA	33
80	f	US	26
81	m	BR	25
82	m	NO	30
83	m	NO	26
84	m	UK	32
85	f	PL	29
86	m	UK	23
87	f	IT	26
88	f	BR	26
89	m	SE	23
90	m	FR	27
91	m	BR	24
92	m	CA	26
93	m	NO	29
94	m	NL	34
95	f	CA	25
96	m	FI	29
97	m	DE	28
98	m	UK	25
99	m	CZ	27
100	m	DK	20
101	m	DE	31
102	m	SE	21
103	m	HR	27
104	m	FI	41
105	m	BR	32
106	m	IT	23
107	m	DO	35
108	f	US	26
109	m	DK	22
110	m	DE	32
111	m	DE	24
112	m	UK	29
113	m	DE	26
114	f	US	22
115	f	US	30
116	m	BR	25
117	m	DE	23
118	m	PL	26
119	m	UK	48
120	m	UK	31
121	m	SE	42
122	m	PL	28
123	m	JP	28
124	m	BR	27
125	f	HU	22
126	m	FI	28
127	m	RS	25
128	m	IT	32
129	m	DK	36
130	f	TR	24
131	m	DE	23
132	m	UK	49
133	m	NO	37
134	m	ES	29
135	m	DE	23
136	f	BR	28
137	m	ES	27
138	m	US	40
139	m	NL	20
140	m	PL	19
141	m	AU	30
142	f	TH	19
143	f	UK	21
144	m	US	25
145	m	FR	37
146	m	SE	28
147	m	AT	28
148	m	US	40
149	m	RU	23
150	f	LV	22
151	m	UK	41
152	m	RU	33
153	m	ES	26
154	m	PL	38
155	f	RU	21
156	m	NL	26
157	m	ES	39
158	m	GR	24
159	f	DE	29
160	f	BR	26
161	m	DE	30
162	m	UK	23
163	m	RU	29
164	f	CZ	28
165	m	US	31
166	m	IT	29
167	m	DE	28
168	m	FR	27
169	f	SE	20
170	m	US	23
171	m	NL	24
172	m	US	34
173	m	DE	21
174	f	SE	20
175	m	UK	31
176	m	UK	23
177	m	PL	26
178	m	NL	30
179	m	PL	26
180	m	FI	30
181	m	AT	26
182	f	MX	22
183	f	EE	18
184	m	IT	27
185	m	SE	28
186	m	HR	26
187	m	UK	21
188	m	UA	26
189	m	IE	29
190	f	CY	26
191	f	US	22
192	m	US	25
193	m	PL	35
194	m	CZ	21
195	m	NL	27
196	f	CA	27
197	f	PL	21
198	m	CA	21
199	m	RU	24
200	m	US	38
201	f	PL	26
202	m	US	23
203	m	SE	25
204	m	SI	21
205	m	SE	31
206	f	US	24
207	m	BR	23
208	m	RU	25
209	m	DE	51
210	m	US	32
211	m	CA	22
212	f	PL	25
213	f	UK	25
214	m	LT	19
215	m	PL	25
216	m	EG	23
217	m	NL	32
218	m	NL	27
219	m	UK	37
220	f	RU	29
221	m	PL	28
222	m	PL	22
223	m	DE	24
224	m	UK	40
225	m	JP	56
226	m	NL	33
227	f	CH	27
228	m	UK	22
229	m	VN	34
230	m	US	22
231	f	BR	21
232	m	US	22
233	m	US	25
234	m	SE	44
235	f	FI	21
236	m	TR	23
237	m	IT	24
238	m	BY	28
239	f	BG	19
240	m	ES	33
241	f	UK	20
242	m	US	92
243	m	FR	32
244	f	PL	23
245	m	AR	27
246	m	DE	29
247	m	CO	31
248	m	UK	38
249	f	RU	31
250	f	PL	20
251	m	BR	21
252	m	NO	20
253	m	FI	23
254	m	BR	28
255	m	US	22
256	f	RU	25
257	f	NL	24
258	f	UK	22
259	f	BR	22
260	m	GR	28
261	m	RU	31
262	m	BR	23
263	m	AR	34
264	m	PL	33
265	m	PL	36
266	m	NO	19
267	m	MX	30
268	m	PL	32
269	m	BR	22
270	m	DE	50
271	f	PL	20
272	m	PL	21
273	m	BR	21
274	m	HU	30
275	m	BY	25
276	m	TR	33
277	f	TR	24
278	m	LV	20
279	m	CO	22
280	m	PL	25
281	f	CL	95
282	m	LV	22
283	m	AT	24
284	m	PL	41
285	m	CA	31
286	m	DK	19
287	m	US	22
288	m	UK	20
289	m	UK	19
290	m	FR	22
291	m	PL	28
292	m	BR	23
293	m	UK	29
294	m	ID	27
295	f	SE	22
296	m	FR	26
297	f	AR	22
298	f	PL	17
299	m	SE	28
300	m	CA	22
301	m	DE	34
302	f	CZ	21
303	m	DE	22
304	m	BR	22
305	f	US	21
306	m	CZ	23
307	m	US	22
308	m	KR	72
309	m	BR	25
310	m	UK	39
311	m	RU	22
312	m	BR	21
313	m	PL	16
314	m	UK	22
315	f	US	28
316	m	UK	48
317	m	US	22
318	m	DE	34
319	m	NL	22
320	m	US	19
321	m	DE	26
322	m	IT	20
323	m	CA	20
324	m	PL	20
325	m	ZA	28
326	m	DE	18
327	m	EG	23
328	m	RU	38
329	m	BR	30
330	m	PL	20
331	m	UA	24
332	m	UK	20
333	m	UK	19
334	m	BR	23
335	m	PM	27
336	m	PL	18
337	m	PL	24
338	f	BR	26
339	f	US	24
340	m	RU	19
341	m	UK	26
342	m	RU	21
343	m	RU	33
344	m	LT	23
345	m	IT	23
346	m	BR	21
347	m	CL	31
348	m	CA	33
349	m	US	23
350	f	DE	29
351	m	BR	27
352	m	UK	19
353	m	AU	18
354	m	FI	22
355	f	PL	19
356	m	US	31
357	m	IT	22
358	m	DE	45
359	m	UK	33
360	m	ES	25
361	m	US	24
362	m	CN	22
363	m	BR	20
364	m	NL	20
365	m	UK	22
366	m	JP	25
367	m	US	31
368	m	EE	25
369	m	CN	17
370	m	IT	21
371	f	PL	20
372	m	DK	21
373	m	BR	23
374	m	PT	24
375	m	RU	24
376	f	NL	18
377	m	PL	23
378	m	DE	26
379	m	BR	20
380	f	CZ	28
381	m	AR	25
382	m	BR	20
383	m	BR	27
384	m	BR	31
385	m	CL	18
386	m	UK	22
387	f	PL	36
388	f	PL	18
389	m	UA	27
390	m	BR	21
391	m	LT	41
392	f	SI	21
393	m	IE	22
394	m	US	24
395	m	BR	18
396	f	JP	34
397	m	CO	23
398	m	UA	25
399	m	FR	22
400	m	RU	23
401	m	PT	27
402	f	BR	23
403	m	PT	69
404	m	FI	18
405	m	US	22
406	f	GR	25
407	m	DE	25
408	m	DE	20
409	m	AU	28
410	m	LV	24
411	m	CA	19
412	m	RU	22
413	m	KZ	23
414	m	PL	26
415	m	US	39
416	f	HU	22
417	m	US	31
418	m	RU	20
419	f	US	19
420	m	BE	23
421	f	BR	19
422	m	BY	33
423	m	FI	26
424	m	RU	18
425	m	US	22
426	m	TR	26
427	f	RU	24
428	m	PL	22
429	f	JP	22
430	m	BR	19
431	m	BR	19
432	m	PL	22
433	m	CL	26
434	m	UK	20
435	m	CA	20
436	m	US	21
437	m	UK	22
438	m	BR	19
439	m	DE	21
440	m	IR	25
441	m	RU	22
442	m	AR	20
443	f	RU	21
444	f	RU	19
445	m	BR	18
446	f	PL	21
447	m	FI	26
448	m	DK	20
449	m	UA	21
450	m	UA	18
451	m	BR	20
452	m	SK	27
453	m	BR	19
454	f	UK	19
455	m	DE	20
456	m	FR	25
457	f	RU	19
458	m	PY	27
459	m	US	18
460	m	GR	21
461	m	CL	22
462	m	DE	52
463	f	BR	17
464	m	NL	44
465	m	UK	50
466	m	US	51
467	m	RU	19
468	m	DE	44
469	m	RU	20
470	m	UA	28
471	f	US	19
472	m	US	16
473	m	LV	23
474	m	PL	24
475	f	RU	18
476	m	UK	23
477	m	BY	27
478	f	ID	21
479	m	LB	18
480	m	BG	20
481	m	RU	21
482	m	PL	21
483	m	PL	21
484	f	RU	17
485	f	AT	20
486	m	UK	30
487	m	BE	46
488	m	US	26
489	f	BR	18
490	m	EE	21
491	m	US	20
492	m	BR	23
493	m	LV	21
494	f	BR	18
495	f	NL	29
496	m	EG	23
497	f	BR	17
498	m	NZ	18
499	f	UK	20
500	m	PT	18
501	f	AU	19
502	m	MX	22
503	m	US	22
504	m	BR	18
505	m	DE	18
506	m	US	31
507	m	BE	24
508	m	BY	14
509	m	DE	23
510	m	AU	18
511	m	UK	20
512	m	PL	28
513	m	BR	27
514	f	RU	21
515	m	UK	37
516	m	US	36
517	f	SE	15
518	m	NO	37
519	f	PL	20
520	m	VN	28
521	m	BR	19
522	m	SE	20
523	m	US	28
524	m	MX	17
525	m	FI	21
526	m	ES	21
527	m	FI	26
528	f	US	32
529	f	BR	18
530	f	BR	17
531	m	JP	21
532	m	BR	23
533	f	US	22
534	m	RU	20
535	f	BR	17
536	m	US	30
537	f	BR	20
538	m	RU	19
539	m	DE	22
540	m	UA	20
541	m	UK	19
542	m	RU	23
543	m	BR	29
544	m	PL	18
545	m	RU	19
546	m	PL	18
547	m	CA	16
548	m	AT	17
549	m	ID	24
550	m	BR	20
