shakewell	.38 Special	US
Ten Typ Mes	100 wymówek	PL
Marilyn Manson	1996	US
Tinashe	2 On	US
Ann Lee	2 Times	IT
Azealia Banks	212	US
AFI	37mm	US
Kelly Clarkson	4 Carats	US
Beyoncé	6 Inch	US
Ariana Grande	7 rings	US
Giorgio Moroder	74 Is the New 24	IT
Damien Rice	9 Crimes	IE
Aretha Franklin	A Change Is Gonna Come	US
Otis Redding	A Change Is Gonna Come	US
Moby	A Dark Cloud is Coming	US
Easton Corbin	A Girl Like You	US
Armandinho	A Ilha	BR
Tom Waits	A Little Rain	US
Feist	A Man Is Not His Song	CA
Elvis Presley	A Mess of Blues	US
Alejandro Sanz	A Que No Me Dejas	ES
Tina Turner	Acid Queen	CH
Shawn Mendes	Act Like You Love Me	CA
John Frusciante	After The Ending	US
Jazmine Sullivan	After The Hurricane	US
Luis Miguel	Ahora Te Puedes Marchar	MX
Ali Farka Touré	Ai Du	Mali
Hilary Duff	All About You	US
Paulina Rubio	All Around The World	MX
Flying Lotus	All In	US
Róisín Murphy	All My Dreams	IE
Peter Murphy	All Night Long	UK
Doja Cat	All Nighter	US
Taylor Swift	All You Had to Do Was Stay	US
Céline Dion	All by Myself	CA
Bosse	Alles ist jetzt	DE
Paulina Rubio	Amor De Mujer	MX
Marisa Monte	Amor I Love You	BR
Fantastic Negrito	An Honest Man	US
Jon Bellion	An Immigrant	US
Lena Katina	An Invitation	RU
Jack Johnson	Angel	US
Venom	Angel Dust	UK
Martin Garrix	Animals	NL
Rejjie Snow	Annie	IE
Nile	Annihilation of the Wicked	US
Brandy	Another Day in Paradise	BE
Michael Jackson	Another Part of Me	US
Mayhem	Anti	CA
Shakira	Antologia	CO
Aerial East	Appetizer	US
Alejandro Sanz	Aquello Que Me Diste	ES
Dooley Wilson	As Time Goes By	US
Kaytranada	At All	CA
John Mellencamp	Authority Song	US
Rome	Automation	IL
Toro y Moi	Baby Drive It Down	US
Norah Jones	Back to Manhattan	US
Kendrick Lamar	Backseat Freestyle	US
Brian Eno	Backwater	UK
Jace Everett	Bad Things	US
Howard Shore	Bag End	CA
Pixie Lott	Band Aid	UK
Patti Smith	Banga	US
Morgan Delt	Barbarian Kings	US
Francesca Michielin	Battito di ciglia	IT
Christina Aguilera	Beautiful	US
Fatboy Slim	Because We Can	UK
Céline Dion	Because You Loved Me	CA
Beck	Beercan	DK
Marisa Monte	Bem Leve	BR
Madonna	Best Night	US
Eddie Vedder	Better Days	US
Graham Nash	Better Days	UK
Foxes	Better Love	UK
Marina and the Diamonds	Better Than That	UK
Marcos Valle	Bicicleta	BR
The Notorious B.I.G.	Big Poppa	US
John Cale	Big White Cloud	US
Avril Lavigne	Bigger Wow	CA
Nick Drake	Bird Flew By	UK
Selena Gomez	Birthday	US
Feist	Bittersweet Melodies	CA
Sunmi	Black Pearl	KR
Anna Calvi	Blackout	UK
Lush	Blackout	FI
Craig Finn	Blankets	US
AFI	Bleed Black	US
Rome	Blighter	IL
Jay Reatard	Blood Visions	US
Billie Holiday	Blue Moon	US
Johnny Cash	Blue Train	US
Cássia Eller	Blues Da Piedade	BR
