user_id	item_id	rank	score
0	11	1	5.2736397
0	526	2	2.1213956
0	49	3	1.8688741
0	79	4	1.7937013
0	439	5	1.541336
0	234	6	1.4942446
0	574	7	1.4771458
0	318	8	1.4207466
0	60	9	1.2674006
0	83	10	1.1657761
1	798	1	3.8329513
1	917	2	3.200212
1	261	3	2.8195646
1	562	4	2.7394094
1	324	5	2.6711693
1	554	6	2.531077
1	18	7	2.277256
1	241	8	2.1541724
1	186	9	2.0084302
1	574	10	1.7008243
2	262	1	3.7247424
2	628	2	3.4491274
2	137	3	3.1793728
2	798	4	3.1263855
2	240	5	2.969831
2	83	6	2.7918582
2	926	7	2.692117
2	562	8	2.520059
2	797	9	2.518256
2	261	10	2.4439006
3	300	1	4.0749974
3	628	2	3.2248151
3	932	3	3.13494
3	137	4	3.1010332
3	240	5	3.099186
3	829	6	2.9772844
3	797	7	2.8963113
3	100	8	2.799446
3	193	9	2.795545
3	798	10	2.7129805
4	262	1	3.8544014
4	289	2	3.1114721
4	240	3	2.9615612
4	628	4	2.9302597
4	829	5	2.7353053
4	193	6	2.4375582
4	798	7	2.3888521
4	261	8	2.3445783
4	15	9	2.3249722
4	276	10	2.1646385
5	262	1	4.1113544
5	240	2	3.516554
5	289	3	3.3049512
5	276	4	2.8423002
5	628	5	2.8214939
5	385	6	2.7020605
5	193	7	2.6493807
5	419	8	2.6141725
5	261	9	2.5635486
5	241	10	2.5459585
6	321	1	3.4235945
6	628	2	3.2815444
6	509	3	2.7237687
6	571	4	2.6893668
6	326	5	2.608676
6	824	6	2.578157
6	289	7	2.4453015
6	723	8	2.4204645
6	209	9	2.418025
6	829	10	2.3795404
7	240	1	4.0712595
7	33	2	3.5394206
7	289	3	3.5385904
7	326	4	3.516822
7	930	5	3.3744028
7	193	6	2.8134837
7	798	7	2.7603712
7	439	8	2.6118824
7	18	9	2.459897
7	822	10	2.3901591
8	289	1	3.2364137
8	49	2	2.5719388
8	186	3	2.3974047
8	234	4	2.396454
8	261	5	2.3618336
8	703	6	2.3294935
8	18	7	2.3060136
8	193	8	2.2788908
8	562	9	2.233697
8	241	10	2.1758292
9	943	1	3.258749
9	240	2	3.2559292
9	289	3	3.117157
9	18	4	2.6515703
9	628	5	2.512063
9	703	6	2.456027
9	33	7	2.4360409
9	49	8	2.3910987
9	261	9	2.3742127
9	798	10	2.2847602
10	137	1	4.285056
10	943	2	3.957539
10	300	3	3.9340773
10	835	4	3.889184
10	571	5	3.884183
10	289	6	3.7055607
10	326	7	3.548145
10	766	8	3.433928
